week,Zip,crossover,svi_label,condition,n_assigned_automated,n_assigned_manual,mean_perc_filled_assigned_automated,mean_perc_filled_assigned_manual,mean_has_race_ethnicity_assigned_automated,mean_has_race_ethnicity_assigned_manual,mean_has_employer_assigned_automated,mean_has_employer_assigned_manual,mean_has_gender_assigned_automated,mean_has_gender_assigned_manual,mean_has_sexual_orientation_assigned_automated,mean_has_sexual_orientation_assigned_manual,mean_has_language_assigned_automated,mean_has_language_assigned_manual,mean_has_signs_or_symptons_assigned_automated,mean_has_signs_or_symptons_assigned_manual,mean_has_travel_assigned_automated,mean_has_travel_assigned_manual,mean_has_attended_gathering_assigned_automated,mean_has_attended_gathering_assigned_manual,mean_has_able_to_self_isolate_assigned_automated,mean_has_able_to_self_isolate_assigned_manual,mean_has_num_contacts_generated_assigned_automated,mean_has_num_contacts_generated_assigned_manual,mean_has_congregate_setting_assigned_automated,mean_has_congregate_setting_assigned_manual
2021-12-13,94040,4,"[50,80) SVI",Manual CICT,1,10,0.8181818181818182,0.6545454545454545,1,1,0,0.4,1,1,1,0.6,1,0.6,1,0.6,1,0.6,1,0.6,1,0.6,1,0.6,0,0.6
2021-12-13,94041,2,"[50,80) SVI",Manual CICT,0,4,NA,0.8636363636363636,NA,0.75,NA,0.25,NA,1,NA,0.75,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,0.75
2021-12-13,94085,2,"[50,80) SVI",Manual CICT,0,4,NA,0.6818181818181818,NA,0.75,NA,0,NA,1,NA,0.5,NA,0.75,NA,0.75,NA,0.75,NA,0.75,NA,0.75,NA,0.75,NA,0.75
2021-12-13,94086,2,"[50,80) SVI",Manual CICT,1,8,0.9090909090909091,0.8295454545454546,1,1,1,0.125,1,1,1,0.625,1,1,1,1,1,0.875,1,1,1,0.875,1,1,0,0.625
2021-12-13,94089,4,"[50,80) SVI",Manual CICT,1,2,0.5454545454545454,0.5909090909090909,1,0.5,0,0,1,1,0,0.5,0,0.5,0,0.5,1,1,1,0.5,1,1,1,1,0,0
2021-12-13,94301,2,"[50,80) SVI",Manual CICT,1,6,0.7272727272727273,0.8636363636363636,1,1,0,0,1,1,0,0.6666666666666666,1,1,1,0.8333333333333334,1,1,1,1,1,1,1,1,0,1
2021-12-13,94303,4,"[80,100] SVI",Manual CICT,1,3,0.5454545454545454,0.7272727272727273,0,0.6666666666666666,0,0,1,1,0,0.6666666666666666,0,0.6666666666666666,1,0.6666666666666666,1,1,1,1,1,1,1,1,0,0.3333333333333333
2021-12-13,95020,4,"[80,100] SVI",Manual CICT,0,18,NA,0.6111111111111112,NA,0.7222222222222222,NA,0.2777777777777778,NA,1,NA,0.2222222222222222,NA,0.7222222222222222,NA,0.6666666666666666,NA,0.6666666666666666,NA,0.5555555555555556,NA,0.6666666666666666,NA,0.6666666666666666,NA,0.5555555555555556
2021-12-13,95035,4,"[50,80) SVI",Manual CICT,2,19,0.4545454545454546,0.7990430622009569,1,0.8421052631578947,0,0.3684210526315789,1,1,0,0.47368421052631576,0.5,0.8947368421052632,0.5,0.8947368421052632,0.5,0.8947368421052632,0.5,0.8421052631578947,0.5,0.8947368421052632,0.5,0.8947368421052632,0,0.7894736842105263
2021-12-13,95037,2,"[50,80) SVI",Manual CICT,0,14,NA,0.5714285714285714,NA,0.42857142857142855,NA,0.35714285714285715,NA,0.9285714285714286,NA,0.21428571428571427,NA,0.6428571428571429,NA,0.7142857142857143,NA,0.42857142857142855,NA,0.5714285714285714,NA,0.7142857142857143,NA,0.7142857142857143,NA,0.5714285714285714
2021-12-13,95050,4,"[50,80) SVI",Manual CICT,0,8,NA,0.625,NA,0.875,NA,0,NA,1,NA,0.375,NA,0.625,NA,0.625,NA,0.75,NA,0.625,NA,0.75,NA,0.625,NA,0.625
2021-12-13,95110,5,"[80,100] SVI",Manual CICT,1,7,0.9090909090909091,0.5064935064935064,1,0.42857142857142855,0,0.14285714285714285,1,0.7142857142857143,1,0.42857142857142855,1,0.5714285714285714,1,0.5714285714285714,1,0.5714285714285714,1,0.5714285714285714,1,0.5714285714285714,1,0.5714285714285714,1,0.42857142857142855
2021-12-13,95111,5,"[80,100] SVI",Manual CICT,0,13,NA,0.6713286713286714,NA,0.6923076923076923,NA,0.23076923076923078,NA,1,NA,0.38461538461538464,NA,0.6923076923076923,NA,0.7692307692307693,NA,0.7692307692307693,NA,0.6923076923076923,NA,0.7692307692307693,NA,0.6923076923076923,NA,0.6923076923076923
2021-12-13,95112,4,"[80,100] SVI",Manual CICT,2,20,0.36363636363636365,0.6681818181818182,1,0.95,0,0.25,1,0.95,0,0.5,0,0.75,0.5,0.75,0.5,0.65,0,0.7,0.5,0.75,0,0.65,0.5,0.45
2021-12-13,95116,4,"[80,100] SVI",Manual CICT,0,8,NA,0.5340909090909091,NA,1,NA,0.125,NA,1,NA,0.25,NA,0.75,NA,0.5,NA,0.375,NA,0.5,NA,0.5,NA,0.5,NA,0.375
2021-12-13,95117,4,"[80,100] SVI",Manual CICT,0,11,NA,0.512396694214876,NA,0.8181818181818182,NA,0.09090909090909091,NA,1,NA,0.36363636363636365,NA,0.6363636363636364,NA,0.45454545454545453,NA,0.5454545454545454,NA,0.45454545454545453,NA,0.5454545454545454,NA,0.45454545454545453,NA,0.2727272727272727
2021-12-13,95121,5,"[80,100] SVI",Manual CICT,0,8,NA,0.6818181818181818,NA,0.875,NA,0.25,NA,1,NA,0.375,NA,0.75,NA,0.625,NA,0.625,NA,0.75,NA,0.875,NA,0.75,NA,0.625
2021-12-13,95122,5,"[80,100] SVI",Manual CICT,1,15,0.7272727272727273,0.6848484848484848,1,0.8666666666666667,1,0.3333333333333333,1,1,1,0.26666666666666666,1,0.8,1,0.7333333333333333,1,0.6666666666666666,0,0.7333333333333333,1,0.8,0,0.8,0,0.5333333333333333
2021-12-13,95123,3,"[50,80) SVI",Manual CICT,0,13,NA,0.4965034965034965,NA,0.46153846153846156,NA,0,NA,1,NA,0.23076923076923078,NA,0.46153846153846156,NA,0.6153846153846154,NA,0.6923076923076923,NA,0.38461538461538464,NA,0.6923076923076923,NA,0.6153846153846154,NA,0.3076923076923077
2021-12-13,95125,4,"[50,80) SVI",Manual CICT,0,9,NA,0.7878787878787878,NA,0.8888888888888888,NA,0.4444444444444444,NA,1,NA,0.6666666666666666,NA,0.7777777777777778,NA,0.7777777777777778,NA,0.8888888888888888,NA,0.8888888888888888,NA,0.8888888888888888,NA,0.8888888888888888,NA,0.5555555555555556
2021-12-13,95126,2,"[50,80) SVI",Manual CICT,2,21,0.5,0.6926406926406926,0.5,0.8571428571428571,0.5,0.23809523809523808,1,1,0.5,0.5714285714285714,0.5,0.7142857142857143,0.5,0.7619047619047619,0.5,0.7142857142857143,0.5,0.6666666666666666,0.5,0.7619047619047619,0.5,0.7142857142857143,0,0.6190476190476191
